Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards,-9999
310,Pelle Larsson,23,MIA,SG,55,8,782,.438,.528,.337,.517,.672,.546,.300,.468,94,97,94,95,86,95,124,111,-10.5,-13.9,,larsspe01
311,Cam Thomas,23,BRK,SG,25,23,781,.438,.506,.349,.513,.881,.575,.333,.430,94,93,97,95,113,100,137,102,-27.1,-0.7,,thomaca02
312,Lindy Waters III,27,2TM,SG,52,9,778,.369,.444,.344,.498,.727,.504,.044,.747,79,82,96,92,93,88,18,177,-22.5,-36.5,,waterli01
312,Lindy Waters III,27,GSW,SG,38,9,655,.371,.474,.331,.490,.727,.498,.054,.722,79,87,92,90,93,86,22,171,-21.7,-32.8,,waterli01
312,Lindy Waters III,27,DET,SG,14,0,123,.364,.167,.395,.534,,.534,.000,.864,78,31,110,98,,93,0,205,-0.8,-3.7,,waterli01
313,Lonzo Ball,27,CHI,PG,35,14,777,.366,.458,.344,.504,.815,.524,.111,.802,78,84,95,93,104,91,46,191,-18.9,-26.7,,balllo01
314,Orlando Robinson,24,2TM,C,44,8,770,.444,.474,.327,.477,.771,.519,.268,.199,95,87,91,88,99,90,110,47,-34.5,-33.2,,robinor01
314,Orlando Robinson,24,SAC,C,9,0,57,.412,.500,.200,.441,.571,.473,.412,.294,88,92,56,81,73,82,170,70,-3.5,-4.1,,robinor01
314,Orlando Robinson,24,TOR,C,35,8,713,.447,.472,.340,.480,.794,.523,.258,.193,96,87,95,88,102,91,106,46,-31.0,-29.1,,robinor01
315,Eric Gordon,36,PHI,SG,39,13,768,.426,.463,.409,.564,.750,.591,.235,.672,91,85,113,104,96,103,97,159,8.4,6.6,,gordoer01
316,Gui Santos,22,GSW,PF,56,2,762,.458,.632,.330,.553,.690,.575,.235,.575,98,116,92,102,89,100,97,137,3.6,-0.6,,santogu01
317,Landry Shamet,27,NYK,SG,50,0,762,.461,.595,.397,.596,.667,.601,.078,.678,99,109,110,110,85,104,32,161,24.2,11.8,,shamela01
318,Svi Mykhailiuk,27,UTA,SF,38,13,760,.391,.485,.345,.507,.800,.526,.116,.672,84,89,96,93,103,91,48,160,-22.0,-31.8,,mykhasv01
319,Andre Drummond,31,PHI,C,40,23,751,.500,.533,.150,.506,.622,.535,.385,.085,107,98,42,93,80,93,158,20,-17.2,-22.3,,drumman01
