,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,YearSalary
191,T.J. McConnell,32,IND,PG,79,1,1415,0.519,0.537,0.306,0.531,0.74,0.547,0.123,0.079,111.0,99.0,85.0,98.0,95.0,95.0,51.0,19.0,-14.7,-38.1,9300000.0
192,Terance Mann,28,2TM,SG,67,13,1414,0.496,0.58,0.368,0.569,0.691,0.584,0.165,0.395,106.0,106.0,102.0,105.0,89.0,101.0,68.0,94.0,21.4,6.6,11423077.0
193,Ryan Dunn,22,PHO,SF,74,44,1410,0.43,0.577,0.311,0.516,0.487,0.517,0.082,0.553,92.0,106.0,86.0,95.0,62.0,90.0,34.0,131.0,-26.1,-58.5,2530800.0
194,Sam Merrill,28,CLE,SG,71,4,1401,0.406,0.625,0.372,0.567,0.966,0.583,0.068,0.868,87.0,115.0,103.0,104.0,124.0,101.0,28.0,206.0,20.5,5.7,2164993.0
195,Ayo Dosunmu,25,CHI,SG,46,26,1394,0.492,0.612,0.328,0.561,0.785,0.585,0.176,0.421,105.0,112.0,91.0,103.0,101.0,102.0,72.0,100.0,16.3,8.5,7000000.0
196,Ty Jerome,27,CLE,SG,70,3,1392,0.516,0.57,0.439,0.606,0.872,0.643,0.239,0.409,110.0,105.0,122.0,112.0,112.0,112.0,99.0,97.0,77.8,90.8,2560975.0
197,Julian Strawther,22,DEN,SG,65,4,1384,0.432,0.535,0.349,0.529,0.822,0.559,0.185,0.553,92.0,98.0,97.0,97.0,105.0,97.0,76.0,131.0,-13.9,-17.7,2552520.0
198,Nick Smith Jr.,20,CHO,SG,60,27,1369,0.391,0.45,0.34,0.482,0.935,0.502,0.081,0.539,84.0,83.0,94.0,89.0,120.0,87.0,33.0,128.0,-68.9,-86.9,2587200.0
199,Jaime Jaquez Jr.,23,MIA,SF,66,17,1368,0.461,0.513,0.311,0.501,0.754,0.543,0.307,0.258,99.0,94.0,86.0,92.0,97.0,94.0,127.0,61.0,-38.8,-34.4,3685800.0
200,Nicolas Batum,36,LAC,PF,78,8,1367,0.437,0.457,0.433,0.622,0.81,0.633,0.088,0.853,94.0,84.0,120.0,115.0,104.0,110.0,36.0,203.0,37.5,28.1,4668000.0
201,Jose Alvarado,26,NOP,PG,56,23,1366,0.392,0.439,0.359,0.498,0.811,0.523,0.142,0.593,84.0,80.0,100.0,92.0,104.0,91.0,58.0,141.0,-46.9,-58.9,1988598.0
